Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Exon/CD	chr3r	012434009	012435424	FBtr0082591	CG5844-RA	+	+0618	NA	NA	NA
Intron	chr3r	012439544	012445357	FBtr0082628	Desat1-RE	+	+0349	NA	NA	NA
Exon/CD	chr3r	012445951	012446250	FBtr0082630	Desat1-RD	+	+2059	NA	NA	NA
Intron	chr3r	012449047	012452010	FBtr0082632	CG18549-RA	+	+1232	NA	NA	NA
Exon/CD	chr3r	012452563	012453045	FBtr0082633	CG5509-RA	+	+0340	NA	NA	NA
Downstream	chr3r	012453616	012454436	FBtr0082633	CG5509-RA	+	+1562	NA	NA	NA
Upstream	chr3r	012454585	012455321	FBtr0082634	trus-RA	+	-1620	NA	NA	NA
Upstream	chr3r	012456101	012456329	FBtr0082634	trus-RA	+	-0358	NA	NA	NA
Exon/CD	chr3r	012456429	012458203	FBtr0082634	trus-RA	+	+0743	NA	NA	NA
Intron	chr3r	012458555	012461294	FBtr0082681	CG5961-RA	-	+0279	NA	NA	NA
Intron	chr3r	012464501	012465239	FBtr0082680	CG5608-RA	-	+0428	NA	NA	NA
Intron	chr3r	012625014	012627765	FBtr0082671	Vha55-RA	-	+1312	NA	NA	NA
Intron	chr3r	012628086	012629667	FBtr0082642	Snx3-RB	+	+0845	NA	NA	NA
Exon/CD	chr3r	012630584	012631585	FBtr0082643	Not10-RA	+	+0437	NA	NA	NA
Intron	chr3r	012648183	012649691	FBtr0082648	Dtg-RA	+	+0879	NA	NA	NA
Exon/CD	chr3r	012677646	012679089	FBtr0082668	mbo-RA	-	+0685	NA	NA	NA
Intron	chr3r	012688254	012688470	FBtr0082666	kar-RA	-	+1005	NA	NA	NA
Intron	chr3r	012688680	012689319	FBtr0082666	kar-RA	-	+0368	NA	NA	NA
Downstream	chr3r	012689542	012689840	FBtr0082665	Su(fu)-RA	-	+1777	NA	NA	NA
Exon/CD	chr3r	012690022	012691531	FBtr0082665	Su(fu)-RA	-	+0692	NA	NA	NA
Intron	chr3r	012691688	012693321	FBtr0082652	Arp1-RA	+	+0761	NA	NA	NA
Intron	chr3r	012695179	012696246	FBtr0113227	NijC-RC	+	+0583	NA	NA	NA
Intron	chr3r	012697869	012703160	FBtr0082655	Past1-RB	+	+2683	NA	NA	NA
Exon/CD	chr3r	012705047	012706145	FBtr0082656	CG12279-RA	+	+0502	NA	NA	NA
Exon/CD	chr3r	012710976	012712318	FBtr0082662	mus308-RA	-	+0652	NA	NA	NA
Intron	chr3r	012717279	012717676	FBtr0330025	Men-RC	-	+2315	NA	NA	NA
Intron	chr3r	012717988	012719812	FBtr0330025	Men-RC	-	+0892	NA	NA	NA
Intron	chr3r	012720208	012720815	FBtr0082661	Men-RA	-	+0273	NA	NA	NA
Intron	chr3r	012720896	012721137	FBtr0082660	Men-RB	-	+1426	NA	NA	NA
Intron	chr3r	012856369	012857608	FBtr0082686	CG10126-RA	-	+0644	NA	NA	NA
Intron	chr3r	012959436	012962471	FBtr0082730	grsm-RB	-	+0690	NA	NA	NA
Intron	chr3r	012980995	012984451	FBtr0082693	Paip2-RA	+	+1677	NA	NA	NA
Exon/CD	chr3r	012985995	012987321	FBtr0113404	CG31342-RC	+	+0617	NA	NA	NA
Intron	chr3r	012992498	012993106	FBtr0082723	yellow-f-RA	-	+0399	NA	NA	NA
Intron	chr3r	012994463	012995243	FBtr0082722	yellow-f2-RA	-	+0294	NA	NA	NA
5'UTR	chr3r	012995344	012999732	FBtr0082721	CG17327-RA	-	+0044	NA	NA	NA
Intron	chr3r	013010096	013011283	FBtr0082719	CG8031-RA	-	+0621	NA	NA	NA
Intron	chr3r	013011706	013013894	FBtr0082700	CtBP-RC	+	+1151	NA	NA	NA
Intron	chr3r	013014021	013020102	FBtr0082700	CtBP-RC	+	+5412	NA	NA	NA
5'UTR	chr3r	013029241	013031708	FBtr0082717	CG12360-RA	-	+0185	NA	NA	NA
Intron	chr3r	013032513	013033649	FBtr0082704	ry-RA	+	+0553	NA	NA	NA
Exon/CD	chr3r	013038460	013039018	FBtr0082705	CG11668-RA	+	+0364	NA	NA	NA
Exon/CD	chr3r	013050898	013051393	FBtr0082715	CG7966-RA	-	+0308	NA	NA	NA
Exon/CD	chr3r	013052138	013053480	FBtr0082709	pic-RA	+	+0564	NA	NA	NA
Intron	chr3r	013063537	013064147	FBtr0334613	sim-RC	+	+1320	NA	NA	NA
Intron	chr3r	013064481	013064820	FBtr0334613	sim-RC	+	+2128	NA	NA	NA
Intron	chr3r	013065414	013065771	FBtr0334613	sim-RC	+	+3070	NA	NA	NA
Exon/CD	chr3r	013088620	013089456	FBtr0082712	timeout-RA	+	+0387	NA	NA	NA
Exon/CD	chr3r	013213757	013214481	FBtr0082782	CG8483-RA	-	+0346	NA	NA	NA
5'UTR	chr3r	013258445	013258685	FBtr0335223	Ace-RC	-	+0212	NA	NA	NA
Upstream	chr3r	013259452	013259667	FBtr0300486	Ace-RB	-	-0042	NA	NA	NA
Intron	chr3r	013260354	013262189	FBtr0335222	CG11686-RB	+	+0915	NA	NA	NA
Exon/CD	chr3r	013262853	013264114	FBtr0082779	Ravus-RA	-	+0578	NA	NA	NA
Exon/CD	chr3r	013264306	013266174	FBtr0301657	Su(var)3-7-RB	+	+0876	NA	NA	NA
Intron	chr3r	013270131	013272022	FBtr0082778	CG8449-RA	-	+0935	NA	NA	NA
Intron	chr3r	013304787	013306273	FBtr0082743	CG32473-RC	+	+0766	NA	NA	NA
Intron	chr3r	013306462	013306687	FBtr0082743	CG32473-RC	+	+1810	NA	NA	NA
Intron	chr3r	013307011	013307580	FBtr0082743	CG32473-RC	+	+2531	NA	NA	NA
Exon/CD	chr3r	013309344	013310484	FBtr0082744	CG32473-RB	+	+0528	NA	NA	NA
Intron	chr3r	013332724	013334094	FBtr0082773	PK2-R2-RA	-	+0757	NA	NA	NA
Upstream	chr3r	013334413	013334621	FBtr0082774	PK2-R2-RB	-	-0351	NA	NA	NA
Intron	chr3r	013363512	013364286	FBtr0303265	poly-RB	-	+0689	NA	NA	NA
Intron	chr3r	013364665	013368215	FBtr0082772	poly-RA	-	+0470	NA	NA	NA
Exon/CD	chr3r	013380813	013381846	FBtr0082750	CG8870-RA	+	+1487	NA	NA	NA
5'UTR	chr3r	013382158	013384426	FBtr0082753	Droj2-RC	+	+0027	NA	NA	NA
Exon/CD	chr3r	013387567	013388795	FBtr0082763	CG9799-RA	-	+0528	NA	NA	NA
Intron	chr3r	013399443	013403273	FBtr0082760	GILT1-RA	-	+0504	NA	NA	NA
Exon/CD	chr3r	013406636	013406950	FBtr0302576	yellow-e2-RB	-	+0205	NA	NA	NA
Intron	chr3r	013413985	013415240	FBtr0082757	yellow-e-RA	-	+0674	NA	NA	NA
Exon/CD	chr3r	013433295	013434960	FBtr0114375	yrt-RC	-	+0857	NA	NA	NA
Intron	chr3r	013450453	013451972	FBtr0309090	CG14372-RD	+	+0622	NA	NA	NA
Intron	chr3r	013464932	013465406	FBtr0309273	CR17025-RB	-	+0937	NA	NA	NA
Intron	chr3r	013643845	013646404	FBtr0309094	sqd-RE	-	+1180	NA	NA	NA
Intron	chr3r	013646644	013649121	FBtr0082799	rin-RE	+	+0878	NA	NA	NA
Intron	chr3r	013659182	013660504	FBtr0310621	Hrb87F-RD	-	+0688	NA	NA	NA
Exon/CD	chr3r	013661315	013663097	FBtr0082804	B52-RF	+	+0618	NA	NA	NA
5'UTR	chr3r	013675583	013677872	FBtr0082813	lkb1-RF	+	+0038	NA	NA	NA
Intron	chr3r	013681903	013687266	FBtr0082817	flfl-RB	+	+0663	NA	NA	NA
Exon/CD	chr3r	013698648	013699586	FBtr0334527	f-cup-RG	-	+0428	NA	NA	NA
Intron	chr3r	013709468	013710848	FBtr0091748	primo-1-RB	-	+0665	NA	NA	NA
Intron	chr3r	013715231	013716960	FBtr0334567	CG34383-RJ	+	+0888	NA	NA	NA
Intron	chr3r	013765694	013766388	FBtr0082825	CG9312-RA	+	+0285	NA	NA	NA
Exon/CD	chr3r	013766905	013767158	FBtr0082825	CG9312-RA	+	+1275	NA	NA	NA
Exon/CD	chr3r	013768035	013768311	FBtr0082826	Cht5-RA	+	+0624	NA	NA	NA
3'UTR	chr3r	013779577	013780727	FBtr0299976	CG42375-RA	+	+0528	NA	NA	NA
Intron	chr3r	013780882	013784144	FBtr0082831	Dip-B-RA	+	+0225	NA	NA	NA
Upstream	chr3r	013812505	013812731	FBtr0299999	tal-3A-RA	+	-0491	NA	NA	NA
Exon/CD	chr3r	013813154	013814592	FBtr0299996	tal-AA-RA	+	+0764	NA	NA	NA
Exon/CD	chr3r	013836937	013838001	FBtr0344767	Nsf2-RC	-	+0522	NA	NA	NA
Exon/CD	chr3r	013838810	013839910	FBtr0082882	CG31495-RA	-	+0574	NA	NA	NA
Exon/CD	chr3r	013873877	013874257	FBtr0082880	E5-RA	-	+0849	NA	NA	NA
Upstream	chr3r	013874434	013875695	FBtr0082880	E5-RA	-	-0148	NA	NA	NA
Upstream	chr3r	013875751	013877776	FBtr0082880	E5-RA	-	-1847	NA	NA	NA
Upstream	chr3r	013901122	013901669	FBtr0082863	ems-RA	+	-0458	NA	NA	NA
Exon/CD	chr3r	013901829	013902962	FBtr0082863	ems-RA	+	+0542	NA	NA	NA
Exon/CD	chr3r	013903368	013904067	FBtr0082863	ems-RA	+	+1864	NA	NA	NA
Upstream	chr3r	013956557	013956872	FBtr0082865	Ipp-RA	+	-2075	NA	NA	NA
Exon/CD	chr3r	013958766	013959853	FBtr0082865	Ipp-RA	+	+0520	NA	NA	NA
Exon/CD	chr3r	013964848	013965927	FBtr0082866	Orc2-RA	+	+0502	NA	NA	NA
Upstream	chr3r	014024249	014026943	FBtr0089766	Cyp6d5-RA	+	-3632	NA	NA	NA
Exon/CD	chr3r	014029380	014029909	FBtr0089766	Cyp6d5-RA	+	+0416	NA	NA	NA
Intron	chr3r	014030307	014032073	FBtr0089766	Cyp6d5-RA	+	+1962	NA	NA	NA
Intron	chr3r	014032340	014033738	FBtr0082869	CG3061-RA	+	+0668	NA	NA	NA
Exon/CD	chr3r	014034999	014036068	FBtr0082870	CG9922-RA	-	+0485	NA	NA	NA
Upstream	chr3r	014056438	014056649	FBtr0082887	foxo-RC	+	-0402	NA	NA	NA
Intron	chr3r	014056937	014059333	FBtr0337094	foxo-RG	+	+0216	NA	NA	NA
Intron	chr3r	014062932	014063221	FBtr0337094	foxo-RG	+	+5157	NA	NA	NA
Intron	chr3r	014090659	014091528	FBtr0082889	Npc2b-RA	+	+0331	NA	NA	NA
5'UTR	chr3r	014108016	014108283	FBtr0346767	CG12402-RC	-	+0172	NA	NA	NA
Intron	chr3r	014121022	014122382	FBtr0112896	Abi-RB	-	+0547	NA	NA	NA
Intron	chr3r	014122502	014127276	FBtr0337095	140up-RB	-	+0659	NA	NA	NA
Exon/CD	chr3r	014223364	014224116	FBtr0300406	Sp212-RC	-	+0415	NA	NA	NA
Downstream	chr3r	014259246	014259989	FBtr0082952	CG14840-RA	-	+1596	NA	NA	NA
Exon/CD	chr3r	014276646	014277949	FBtr0082950	trx-RD	-	+9606	NA	NA	NA
Intron	chr3r	014279090	014279623	FBtr0082950	trx-RD	-	+7547	NA	NA	NA
Intron	chr3r	014281664	014281956	FBtr0082950	trx-RD	-	+5093	NA	NA	NA
Intron	chr3r	014282143	014282496	FBtr0082950	trx-RD	-	+4584	NA	NA	NA
Intron	chr3r	014282933	014286514	FBtr0082950	trx-RD	-	+2180	NA	NA	NA
Intron	chr3r	014289089	014291407	FBtr0309999	CG12207-RF	+	+0974	NA	NA	NA
Intron	chr3r	014292080	014292426	FBtr0082922	CG12207-RC	+	+1852	NA	NA	NA
Intron	chr3r	014292689	014293295	FBtr0082922	CG12207-RC	+	+2591	NA	NA	NA
Intron	chr3r	014296530	014296802	FBtr0082922	CG12207-RC	+	+6265	NA	NA	NA
5'UTR	chr3r	014297279	014299344	FBtr0082923	CG12207-RA	+	+0086	NA	NA	NA
Exon/CD	chr3r	014307401	014311062	FBtr0082925	RpII15-RA	+	+0142	NA	NA	NA
Intron	chr3r	014311151	014311888	FBtr0082926	CG31321-RB	+	+1157	NA	NA	NA
Exon/CD	chr3r	014312329	014312678	FBtr0082926	CG31321-RB	+	+2141	NA	NA	NA
Exon/CD	chr3r	014316074	014317532	FBtr0309996	pr-set7-RD	+	+0461	NA	NA	NA
5'UTR	chr3r	014325359	014328806	FBtr0082931	ATPsynE-RA	+	+0014	NA	NA	NA
Intron	chr3r	014356689	014357415	FBtr0306742	NK7.1-RC	-	+12956	NA	NA	NA
Intron	chr3r	014360831	014361207	FBtr0306742	NK7.1-RC	-	+8989	NA	NA	NA
Intron	chr3r	014361290	014361876	FBtr0306742	NK7.1-RC	-	+8425	NA	NA	NA
Intron	chr3r	014367918	014370397	FBtr0306742	NK7.1-RC	-	+0851	NA	NA	NA
Intron	chr3r	014370643	014371207	FBtr0082941	NK7.1-RA	-	+2026	NA	NA	NA
5'UTR	chr3r	014372594	014372859	FBtr0082941	NK7.1-RA	-	+0225	NA	NA	NA
Exon/CD	chr3r	014510656	014513721	FBtr0082953	mRpL11-RA	+	+0350	NA	NA	NA
Intron	chr3r	014566730	014567354	FBtr0082982	CG31313-RA	-	+0387	NA	NA	NA
Upstream	chr3r	014568148	014569720	FBtr0334954	CR44095-RA	+	-0028	NA	NA	NA
5'UTR	chr3r	014573990	014575908	FBtr0082979	CG7987-RB	-	+0938	NA	NA	NA
Intron	chr3r	014623779	014625655	FBtr0334030	put-RC	-	+0986	NA	NA	NA
Exon/CD	chr3r	014625923	014626867	FBtr0334029	His4r-RD	+	+0607	NA	NA	NA
Intron	chr3r	014648899	014655645	FBtr0344158	l(3)L1231-RD	-	+2925	NA	NA	NA
Exon/CD	chr3r	014655862	014659210	FBtr0082966	CG3505-RA	+	+0089	NA	NA	NA
Exon/CD	chr3r	014659352	014660354	FBtr0082968	Hexim-RB	+	+0415	NA	NA	NA
Exon/CD	chr3r	014662068	014663179	FBtr0082974	Rad17-RA	-	+0574	NA	NA	NA
Intron	chr3r	014694970	014695292	FBtr0301498	Meltrin-RC	-	+2161	NA	NA	NA
Exon/CD	chr3r	014695786	014697264	FBtr0301498	Meltrin-RC	-	+0767	NA	NA	NA
Intron	chr3r	014714144	014714546	FBtr0344383	kibra-RB	-	+9916	NA	NA	NA
Intron	chr3r	014714874	014716037	FBtr0344383	kibra-RB	-	+8806	NA	NA	NA
Intron	chr3r	014716931	014717818	FBtr0344383	kibra-RB	-	+6887	NA	NA	NA
Intron	chr3r	014721605	014724284	FBtr0344383	kibra-RB	-	+1317	NA	NA	NA
Intron	chr3r	014730419	014731613	FBtr0083021	CG7530-RC	-	+0258	NA	NA	NA
Intron	chr3r	014734872	014735111	FBtr0336876	eff-RC	-	+5800	NA	NA	NA
Intron	chr3r	014735253	014735495	FBtr0336876	eff-RC	-	+5417	NA	NA	NA
Intron	chr3r	014735946	014736355	FBtr0336876	eff-RC	-	+4641	NA	NA	NA
Intron	chr3r	014736979	014740772	FBtr0336876	eff-RC	-	+1916	NA	NA	NA
5'UTR	chr3r	014740944	014741230	FBtr0083018	eff-RA	-	+0232	NA	NA	NA
Exon/CD	chr3r	014741436	014743170	FBtr0305694	jvl-RF	+	+0721	NA	NA	NA
Intron	chr3r	014749417	014750469	FBtr0305695	jvl-RG	+	+0468	NA	NA	NA
Intron	chr3r	014750770	014751307	FBtr0305695	jvl-RG	+	+1563	NA	NA	NA
Exon/CD	chr3r	014796451	014796997	FBtr0082991	CG14855-RA	+	+0419	NA	NA	NA
Exon/CD	chr3r	014816516	014817955	FBtr0334292	btsz-RI	-	+36684	NA	NA	NA
Exon/CD	chr3r	014818179	014818563	FBtr0334292	btsz-RI	-	+35548	NA	NA	NA
Exon/CD	chr3r	014818735	014820480	FBtr0334292	btsz-RI	-	+34312	NA	NA	NA
5'UTR	chr3r	014879349	014880686	FBtr0114533	CG3631-RD	+	+0560	NA	NA	NA
5'UTR	chr3r	014884667	014888393	FBtr0082998	CG33331-RA	+	+0074	NA	NA	NA
Intron	chr3r	014889086	014891512	FBtr0083001	UQCR-C1-RB	+	+0068	NA	NA	NA
Exon/CD	chr3r	014891586	014894265	FBtr0083009	CG7265-RA	-	+1029	NA	NA	NA
Exon/CD	chr3r	014894526	014895962	FBtr0289976	CG14860-RB	+	+0460	NA	NA	NA
Exon/CD	chr3r	014896579	014899701	FBtr0083008	Nup93-2-RA	-	+0232	NA	NA	NA
Exon/CD	chr3r	014902469	014904013	FBtr0083005	VhaPPA1-1-RA	-	+0820	NA	NA	NA
Exon/CD	chr3r	014918750	014919448	FBtr0346103	Sdr-RB	+	+0471	NA	NA	NA
Intron	chr3r	015093753	015095678	FBtr0344380	CG6966-RC	-	+0916	NA	NA	NA
Intron	chr3r	015129953	015130294	FBtr0303485	CG42788-RC	-	+1803	NA	NA	NA
Upstream	chr3r	015130355	015131870	FBtr0304476	mir-2493-RM	-	-0253	NA	NA	NA
Exon/CD	chr3r	015140287	015141342	FBtr0083026	CG3987-RA	+	+0856	NA	NA	NA
Intron	chr3r	015145740	015147646	FBtr0333276	GlyS-RD	-	+0414	NA	NA	NA
Intron	chr3r	015195322	015196350	FBtr0306246	CG6752-RB	-	+0219	NA	NA	NA
Intron	chr3r	015196548	015198118	FBtr0302324	CG42542-RF	+	+0391	NA	NA	NA
Intron	chr3r	015198305	015199153	FBtr0302324	CG42542-RF	+	+1787	NA	NA	NA
Intron	chr3r	015204736	015206461	FBtr0083141	Spn88Ea-RA	-	+0849	NA	NA	NA
Exon/CD	chr3r	015209158	015210939	FBtr0083048	CG4203-RA	+	+0844	NA	NA	NA
Exon/CD	chr3r	015211945	015213751	FBtr0083139	CG6654-RA	-	+0810	NA	NA	NA
Exon/CD	chr3r	015213854	015215267	FBtr0083049	CG4210-RA	+	+0586	NA	NA	NA
Upstream	chr3r	015217456	015220604	FBtr0083138	SIDL-RA	-	-0156	NA	NA	NA
Exon/CD	chr3r	015222350	015223267	FBtr0083137	Rpb7-RA	-	+0372	NA	NA	NA
Intron	chr3r	015223318	015225464	FBtr0083136	CG31344-RA	-	+0938	NA	NA	NA
Exon/CD	chr3r	015225546	015227272	FBtr0083052	Caf1-RA	+	+0833	NA	NA	NA
5'UTR	chr3r	015227692	015231024	FBtr0083134	Art3-RA	-	+0050	NA	NA	NA
Exon/CD	chr3r	015241121	015242560	FBtr0110874	tefu-RB	-	+0396	NA	NA	NA
Exon/CD	chr3r	015242737	015246099	FBtr0083056	Hsc70-4-RF	+	+0162	NA	NA	NA
Intron	chr3r	015251194	015251416	FBtr0345173	CG42404-RF	+	+1211	NA	NA	NA
Upstream	chr3r	015261620	015265311	FBtr0310385	Su(var)3-9-RA	-	-0007	NA	NA	NA
Exon/CD	chr3r	015265626	015270228	FBtr0083128	CG14864-RA	-	+0502	NA	NA	NA
Exon/CD	chr3r	015271191	015271557	FBtr0083127	Cp190-RB	-	+3416	NA	NA	NA
Exon/CD	chr3r	015272149	015272996	FBtr0083127	Cp190-RB	-	+2218	NA	NA	NA
Exon/CD	chr3r	015273170	015278789	FBtr0083066	CG4338-RA	+	+0457	NA	NA	NA
Upstream	chr3r	015278904	015279164	FBtr0301089	l(3)neo43-RB	-	-0366	NA	NA	NA
Intron	chr3r	015281665	015282978	FBtr0089968	Tm1-RL	+	+0771	NA	NA	NA
Intron	chr3r	015283269	015283627	FBtr0089968	Tm1-RL	+	+1898	NA	NA	NA
5'UTR	chr3r	015286340	015286651	FBtr0089963	Tm1-RH	+	+0076	NA	NA	NA
5'UTR	chr3r	015286956	015295686	FBtr0333917	Tm1-RR	+	+0375	NA	NA	NA
Intron	chr3r	015318980	015320672	FBtr0083123	CG6276-RA	-	+0243	NA	NA	NA
Exon/CD	chr3r	015320766	015322352	FBtr0334695	ear-RC	+	+0803	NA	NA	NA
5'UTR	chr3r	015327289	015330376	FBtr0334588	ea-RB	+	+0103	NA	NA	NA
Intron	chr3r	015330558	015335281	FBtr0083120	FK506-bp1-RA	-	+0214	NA	NA	NA
Intron	chr3r	015340385	015343320	FBtr0083119	CG6218-RA	-	+1404	NA	NA	NA
Exon/CD	chr3r	015344557	015349471	FBtr0083087	CG31301-RA	+	+0809	NA	NA	NA
Exon/CD	chr3r	015349537	015353426	FBtr0083089	CG5038-RA	+	+0256	NA	NA	NA
Exon/CD	chr3r	015353908	015358895	FBtr0083115	Atg4b-RA	-	+0523	NA	NA	NA
5'UTR	chr3r	015359622	015363878	FBtr0347564	Trax-RC	+	+0058	NA	NA	NA
Intron	chr3r	015366289	015367806	FBtr0112667	CG34404-RC	-	+0618	NA	NA	NA
Exon/CD	chr3r	015369199	015369963	FBtr0083109	CG14868-RA	-	+0364	NA	NA	NA
5'UTR	chr3r	015370968	015373433	FBtr0332540	CG6136-RD	-	+0012	NA	NA	NA
Intron	chr3r	015408340	015411183	FBtr0083100	Atx2-RC	+	+0310	NA	NA	NA
Intron	chr3r	015474101	015474479	FBtr0083160	AdamTS-A-RB	-	+1903	NA	NA	NA
5'UTR	chr3r	015474628	015476176	FBtr0083160	AdamTS-A-RB	-	+0791	NA	NA	NA
Exon/CD	chr3r	015486031	015487389	FBtr0083147	CG5205-RA	+	+0660	NA	NA	NA
Exon/CD	chr3r	015536186	015536613	FBtr0083154	AOX1-RA	-	+0893	NA	NA	NA
Intron	chr3r	015536771	015537161	FBtr0083154	AOX1-RA	-	+0326	NA	NA	NA
Exon/CD	chr3r	015541287	015542419	FBtr0345258	AOX2-RC	-	+0561	NA	NA	NA
Intron	chr3r	015546419	015548046	FBtr0083151	AOX3-RA	-	+0504	NA	NA	NA
Intron	chr3r	015666307	015667981	FBtr0334025	pxb-RC	+	+0961	NA	NA	NA
Exon/CD	chr3r	015668052	015668700	FBtr0332551	CR43849-RA	+	+0398	NA	NA	NA
Exon/CD	chr3r	015786672	015787948	FBtr0083172	CG9590-RA	+	+0607	NA	NA	NA
Intron	chr3r	015792605	015795687	FBtr0309859	nsl1-RK	+	+0364	NA	NA	NA
Exon/CD	chr3r	015802367	015804026	FBtr0307203	CG9593-RB	+	+0921	NA	NA	NA
Intron	chr3r	015804243	015806125	FBtr0083179	alpha-Man-IIb-RA	+	+0936	NA	NA	NA
Intron	chr3r	015825528	015826759	FBtr0083193	rec-RA	-	+6489	NA	NA	NA
Intron	chr3r	015826860	015827636	FBtr0083193	rec-RA	-	+5384	NA	NA	NA
Exon/CD	chr3r	015832068	015832696	FBtr0083193	rec-RA	-	+0250	NA	NA	NA
Exon/CD	chr3r	015834619	015835904	FBtr0300570	Arpc3A-RC	+	+0613	NA	NA	NA
Exon/CD	chr3r	015835971	015837114	FBtr0083191	ND-23-RA	-	+0575	NA	NA	NA
Intron	chr3r	015837429	015837987	FBtr0083183	spn-E-RA	+	+0289	NA	NA	NA
Intron	chr3r	015838446	015839559	FBtr0083183	spn-E-RA	+	+1583	NA	NA	NA
Downstream	chr3r	015852656	015853451	FBtr0083188	Hmt-1-RA	-	+4417	NA	NA	NA
Exon/CD	chr3r	015856240	015857557	FBtr0083188	Hmt-1-RA	-	+0572	NA	NA	NA
Intron	chr3r	015874055	015874269	FBtr0346151	CG31183-RB	-	+1777	NA	NA	NA
Intron	chr3r	015874477	015875710	FBtr0346151	CG31183-RB	-	+0846	NA	NA	NA
Intron	chr3r	015900508	015901343	FBtr0083246	glob1-RB	-	+0457	NA	NA	NA
Exon/CD	chr3r	015909042	015909529	FBtr0083200	CG3303-RA	+	+0887	NA	NA	NA
Intron	chr3r	015921031	015922452	FBtr0083201	Fbxl7-RA	+	+0843	NA	NA	NA
Intron	chr3r	015923227	015923703	FBtr0083201	Fbxl7-RA	+	+2567	NA	NA	NA
Intron	chr3r	015923969	015924375	FBtr0083201	Fbxl7-RA	+	+3274	NA	NA	NA
Downstream	chr3r	015933837	015936198	FBtr0083203	blp-RA	+	+1158	NA	NA	NA
Intron	chr3r	015936395	015936620	FBtr0083205	Sap47-RB	+	+1388	NA	NA	NA
Exon/CD	chr3r	015962656	015967338	FBtr0302551	CG32856-RB	-	+0354	NA	NA	NA
Exon/CD	chr3r	015971079	015972905	FBtr0083238	mor-RA	-	+0921	NA	NA	NA
Intron	chr3r	015973144	015976000	FBtr0301715	Hel89B-RB	+	+1274	NA	NA	NA
Intron	chr3r	015976252	015976647	FBtr0301715	Hel89B-RB	+	+3151	NA	NA	NA
Exon/CD	chr3r	015986178	015986887	FBtr0335425	CR44133-RA	+	+0351	NA	NA	NA
5'UTR	chr3r	015993041	015993370	FBtr0335423	srp-RF	+	+0771	NA	NA	NA
Exon/CD	chr3r	015994189	015995124	FBtr0083216	srp-RB	+	+0516	NA	NA	NA
Intron	chr3r	015995322	015997007	FBtr0083216	srp-RB	+	+2024	NA	NA	NA
Intron	chr3r	016005962	016006584	FBtr0309032	CR42839-RB	-	+1800	NA	NA	NA
Exon/CD	chr3r	016006736	016007239	FBtr0309032	CR42839-RB	-	+1086	NA	NA	NA
5'UTR	chr3r	016012350	016012949	FBtr0083218	GATAe-RA	+	+0375	NA	NA	NA
Intron	chr3r	016013272	016013998	FBtr0083218	GATAe-RA	+	+1361	NA	NA	NA
Upstream	chr3r	016025342	016025871	FBtr0335427	pnr-RD	+	-0473	NA	NA	NA
5'UTR	chr3r	016026116	016026594	FBtr0083220	pnr-RB	+	+0103	NA	NA	NA
Intron	chr3r	016027271	016027489	FBtr0083220	pnr-RB	+	+1128	NA	NA	NA
Intron	chr3r	016027708	016028229	FBtr0083220	pnr-RB	+	+1716	NA	NA	NA
Exon/CD	chr3r	016048254	016052621	FBtr0083223	CG5013-RA	+	+0767	NA	NA	NA
Intron	chr3r	016070987	016072286	FBtr0083233	Mhcl-RD	-	+4528	NA	NA	NA
Intron	chr3r	016085835	016086201	FBtr0083231	Mhcl-RB	-	+12743	NA	NA	NA
Intron	chr3r	016097053	016098837	FBtr0083231	Mhcl-RB	-	+0816	NA	NA	NA
Intron	chr3r	016098986	016101171	FBtr0083228	Akt1-RC	+	+0850	NA	NA	NA
Intron	chr3r	016128887	016129793	FBtr0083250	Sb-RA	+	+0614	NA	NA	NA
5'UTR	chr3r	016145222	016148221	FBtr0347199	CG5903-RC	-	+0134	NA	NA	NA
5'UTR	chr3r	016155054	016155785	FBtr0113477	CG6006-RC	+	+0437	NA	NA	NA
Exon/CD	chr3r	016172173	016172577	FBtr0113241	CG8925-RB	+	+0384	NA	NA	NA
5'UTR	chr3r	016185878	016188272	FBtr0347200	Bin1-RB	-	+2489	NA	NA	NA
Intron	chr3r	016201286	016201645	FBtr0083278	CG6126-RA	-	+1618	NA	NA	NA
Intron	chr3r	016201886	016203065	FBtr0083278	CG6126-RA	-	+0608	NA	NA	NA
Intron	chr3r	016204297	016205378	FBtr0083277	mtSSB-RA	-	+0413	NA	NA	NA
Downstream	chr3r	016207364	016208088	FBtr0346357	CR45639-RA	-	+1209	NA	NA	NA
Upstream	chr3r	016212518	016212733	FBtr0346355	CR45642-RA	+	-0863	NA	NA	NA
Intron	chr3r	016231031	016231414	FBtr0083257	tara-RA	+	+5571	NA	NA	NA
Intron	chr3r	016231874	016232661	FBtr0083257	tara-RA	+	+6616	NA	NA	NA
Intron	chr3r	016233436	016233738	FBtr0083257	tara-RA	+	+7936	NA	NA	NA
Intron	chr3r	016234042	016234346	FBtr0083257	tara-RA	+	+8543	NA	NA	NA
Intron	chr3r	016234768	016235131	FBtr0083257	tara-RA	+	+9298	NA	NA	NA
Intron	chr3r	016237589	016238688	FBtr0083257	tara-RA	+	+12487	NA	NA	NA
Intron	chr3r	016239173	016239509	FBtr0083257	tara-RA	+	+13690	NA	NA	NA
